"Countries","ResidualCorrelation"
"BOTSWANA (NLS-1) and LESOTHO (NLS-1)",0.0145655359058741
"BURKINAFASO (NLS-1) and LESOTHO (NLS-1)",0.178061527688987
"BURUNDI (NLS-1) and LESOTHO (NLS-1)",0.177012630801144
"CABOVERDE (OLS) and LESOTHO (NLS-1)",0.234896058994487
"CAMEROON (NLS-1) and LESOTHO (NLS-1)",-0.0191086474266351
"CAR (NLS-2) and LESOTHO (NLS-1)",0.0144355064056105
"CHAD (NLS-1) and LESOTHO (NLS-1)",-0.057827556793081
"COMOROS (NLS-1) and LESOTHO (NLS-1)",0.0620650266819525
"CONGODR (NLS-2) and LESOTHO (NLS-1)",0.114871577905821
"CONGOREPUB (NLS-1) and LESOTHO (NLS-1)",-0.00225079778372714
"DJIBOUTI (NLS-1) and LESOTHO (NLS-1)",0.0379879673895584
"EGYPT (NLS-1) and LESOTHO (NLS-1)",-0.0575760260604993
"EQGUINEA (NLS-2) and LESOTHO (NLS-1)",0.0622252859710122
"ERITREA (OLS) and LESOTHO (NLS-1)",0.141985449867797
"ETHIOPIA (NLS-2) and LESOTHO (NLS-1)",-0.131991380795143
"GABON (NLS-1) and LESOTHO (NLS-1)",-0.0477706554886138
"GAMBIA (NLS-1) and LESOTHO (NLS-1)",-0.0717307100401556
"GHANA (OLS) and LESOTHO (NLS-1)",0.465128463814775
"GUINEA (NLS-1) and LESOTHO (NLS-1)",0.119580077437841
"GUINEABISSAU (NLS-1) and LESOTHO (NLS-1)",-0.0817676501571556
"IVORYCOAST (NLS-1) and LESOTHO (NLS-1)",0.120800694563096
"KENYA (NLS-1) and LESOTHO (NLS-1)",-0.128503968359733
"ALGERIA (NLS-1) and LIBERIA (NLS-2)",-0.236787775234583
"ANGOLA (OLS) and LIBERIA (NLS-2)",0.0189009948481837
"BENIN (NLS-1) and LIBERIA (NLS-2)",0.0226905063083029
"BOTSWANA (NLS-1) and LIBERIA (NLS-2)",0.11745964014394
"BURKINAFASO (NLS-1) and LIBERIA (NLS-2)",0.116432113609289
"BURUNDI (NLS-1) and LIBERIA (NLS-2)",-0.0847410507306136
"CABOVERDE (OLS) and LIBERIA (NLS-2)",0.167660475988358
"CAMEROON (NLS-1) and LIBERIA (NLS-2)",0.234255631269283
"CAR (NLS-2) and LIBERIA (NLS-2)",0.0598229408951139
"CHAD (NLS-1) and LIBERIA (NLS-2)",0.138704207566227
"COMOROS (NLS-1) and LIBERIA (NLS-2)",-0.1173697073235
"CONGODR (NLS-2) and LIBERIA (NLS-2)",0.187475460762254
"CONGOREPUB (NLS-1) and LIBERIA (NLS-2)",-0.000620381166119539
"DJIBOUTI (NLS-1) and LIBERIA (NLS-2)",-0.0844894684187362
"EGYPT (NLS-1) and LIBERIA (NLS-2)",-0.108464408376141
"EQGUINEA (NLS-2) and LIBERIA (NLS-2)",0.348877383573549
"ERITREA (OLS) and LIBERIA (NLS-2)",0.0113183841864341
"ETHIOPIA (NLS-2) and LIBERIA (NLS-2)",0.0436524150737761
"GABON (NLS-1) and LIBERIA (NLS-2)",0.109283620336703
"GAMBIA (NLS-1) and LIBERIA (NLS-2)",-0.163201560053367
"GHANA (OLS) and LIBERIA (NLS-2)",0.157561673696831
"GUINEA (NLS-1) and LIBERIA (NLS-2)",0.0502678054526468
"GUINEABISSAU (NLS-1) and LIBERIA (NLS-2)",-0.0703797227138681
"IVORYCOAST (NLS-1) and LIBERIA (NLS-2)",0.0498771870620953
"KENYA (NLS-1) and LIBERIA (NLS-2)",-0.0359068058133374
"LESOTHO (NLS-1) and LIBERIA (NLS-2)",0.128074751075062
"ALGERIA (NLS-1) and LIBYA (NLS-2)",0.115237125963469
"ANGOLA (OLS) and LIBYA (NLS-2)",0.137834617758827
"BENIN (NLS-1) and LIBYA (NLS-2)",-0.0860736573340102
"BOTSWANA (NLS-1) and LIBYA (NLS-2)",0.153468611335974
"BURKINAFASO (NLS-1) and LIBYA (NLS-2)",0.0901250766891094
"BURUNDI (NLS-1) and LIBYA (NLS-2)",-0.209839727798221
"CABOVERDE (OLS) and LIBYA (NLS-2)",-0.133173216437941
"CAMEROON (NLS-1) and LIBYA (NLS-2)",0.00692319948926952
"CAR (NLS-2) and LIBYA (NLS-2)",-0.0356812983526
"CHAD (NLS-1) and LIBYA (NLS-2)",0.091122236262142
"COMOROS (NLS-1) and LIBYA (NLS-2)",-0.107062047267661
"CONGODR (NLS-2) and LIBYA (NLS-2)",0.0676516293881659
"CONGOREPUB (NLS-1) and LIBYA (NLS-2)",0.0439343354005395
"DJIBOUTI (NLS-1) and LIBYA (NLS-2)",0.0230160944298338
"EGYPT (NLS-1) and LIBYA (NLS-2)",0.232716752908382
"EQGUINEA (NLS-2) and LIBYA (NLS-2)",0.0704139110381991
"ERITREA (OLS) and LIBYA (NLS-2)",-0.262440073767224
"ETHIOPIA (NLS-2) and LIBYA (NLS-2)",-0.163379067468167
"GABON (NLS-1) and LIBYA (NLS-2)",0.100967604403311
"GAMBIA (NLS-1) and LIBYA (NLS-2)",0.203911577094541
"GHANA (OLS) and LIBYA (NLS-2)",-0.179436348017222
"GUINEA (NLS-1) and LIBYA (NLS-2)",-0.0347806751652386
